userId,regTime,testVariant,primaryAccount,regPage,device,app,browser,browserVersion,screenHeight,screenWidth,authMethod,locationStep,addedCity,locationCountry,addedGuestCount,addedBudget,invitedCollaborator,addedNames,finOnb,searchCTA,venEnq,venSearch,venViews,sessions
285,1.56938E+12,1,TRUE,/,Android,TRUE,Chrome,76,780,360,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,6,26,23,1
286,1.56985E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,0,4,3,2
287,1.56879E+12,0,TRUE,/,Android,TRUE,Chrome,77,747,360,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,1
288,1.56916E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1
289,1.56943E+12,0,TRUE,/,Android,TRUE,Chrome,76,760,360,facebook.com,skipped,0,,TRUE,TRUE,FALSE,FALSE,1,1,0,1,0,1
290,1.56965E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,skipped,0,,FALSE,FALSE,FALSE,FALSE,1,0,0,2,3,2
291,1.56966E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,3
292,1.56988E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,568,320,password,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,0,4,1,1
293,1.56879E+12,0,TRUE,/,Android,TRUE,Chrome,76,780,360,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
294,1.5689E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,FALSE,TRUE,TRUE,1,1,0,5,5,6
295,1.56934E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,2,46,130,10
296,1.56943E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,1,0,18,24,11
297,1.56944E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,3,3,11,2
298,1.56961E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,1
299,1.56969E+12,0,TRUE,/,Android,TRUE,Chrome,76,640,360,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,3,11,13,5
300,1.56979E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,8,6,2
301,1.56979E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
302,1.56945E+12,0,TRUE,/,Android,TRUE,Chrome,76,640,360,facebook.com,completed,1,England,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,1
303,1.56874E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,6,15,17,5
304,1.56885E+12,0,TRUE,/,Android,TRUE,Chrome,76,823,412,facebook.com,completed,0,,FALSE,FALSE,TRUE,TRUE,1,1,0,19,19,20
305,1.56919E+12,2,TRUE,/,Android,TRUE,Chrome,77,740,360,password,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,35,36,3
306,1.56979E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,1,Wales,FALSE,TRUE,FALSE,TRUE,1,1,1,9,8,3
307,1.56884E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,seen,0,,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1
308,1.56918E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,8,15,11,1
309,1.56941E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,google.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,13,5,6
310,1.56959E+12,2,TRUE,/,Android,TRUE,Chrome,77,780,360,password,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,0,4,2,7
311,1.56968E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,16
312,1.56977E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,2
313,1.56901E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,4
314,1.56933E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,1,England,FALSE,TRUE,FALSE,TRUE,1,1,0,1,0,1
315,1.56944E+12,1,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,1,England,FALSE,TRUE,TRUE,TRUE,1,1,3,15,5,1
316,1.56889E+12,0,TRUE,/,Android,TRUE,Chrome,76,740,360,facebook.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,1
317,1.56943E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,FALSE,TRUE,TRUE,TRUE,1,1,5,14,14,3
318,1.56961E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,2
319,1.5697E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
320,1.56934E+12,0,TRUE,/,Android,TRUE,Chrome,76,869,412,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,1,0,4,0,1
321,1.56967E+12,1,TRUE,/,Android,TRUE,Chrome,77,740,360,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,5
322,1.56975E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,9,8,6,3
323,1.56979E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,1
324,1.5698E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
325,1.56875E+12,0,TRUE,/,Android,TRUE,Chrome,77,846,412,facebook.com,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,0,6,3,15
